RegionCode,RegionName,Year,PriceToEarningsRatio
E92000001,England,1997.0,3.54
E12000001,North East,1997.0,2.98
E12000002,North West,1997.0,3.01
E12000003,Yorkshire and The Humber,1997.0,3.12
E12000004,East Midlands,1997.0,3.17
E12000005,West Midlands,1997.0,3.4
E12000007,London,1997.0,4.0
E12000008,South East,1997.0,4.17
E12000009,South West,1997.0,3.78
W92000004,Wales,1997.0,3.0
E92000001,England,1998.0,3.67
E12000001,North East,1998.0,3.01
E12000002,North West,1998.0,3.01
E12000003,Yorkshire and The Humber,1998.0,3.05
E12000004,East Midlands,1998.0,3.26
E12000005,West Midlands,1998.0,3.35
E12000007,London,1998.0,4.34
E12000008,South East,1998.0,4.43
E12000009,South West,1998.0,3.96
W92000004,Wales,1998.0,3.04
E92000001,England,1999.0,3.96
E12000001,North East,1999.0,3.07
E12000002,North West,1999.0,3.09
E12000003,Yorkshire and The Humber,1999.0,3.15
E12000004,East Midlands,1999.0,3.42
E12000005,West Midlands,1999.0,3.53
E12000007,London,1999.0,4.94
E12000008,South East,1999.0,4.75
E12000009,South West,1999.0,4.24
W92000004,Wales,1999.0,3.16
E92000001,England,2000.0,4.19
E12000001,North East,2000.0,2.98
E12000002,North West,2000.0,3.13
E12000003,Yorkshire and The Humber,2000.0,3.14
E12000004,East Midlands,2000.0,3.46
E12000005,West Midlands,2000.0,3.68
E12000007,London,2000.0,5.54
E12000008,South East,2000.0,5.35
E12000009,South West,2000.0,4.59
W92000004,Wales,2000.0,3.26
E92000001,England,2001.0,4.5
E12000001,North East,2001.0,3.02
E12000002,North West,2001.0,3.23
E12000003,Yorkshire and The Humber,2001.0,3.23
E12000004,East Midlands,2001.0,3.72
E12000005,West Midlands,2001.0,3.92
E12000007,London,2001.0,5.95
E12000008,South East,2001.0,5.88
E12000009,South West,2001.0,5.04
W92000004,Wales,2001.0,3.33
E92000001,England,2002.0,5.12
E12000001,North East,2002.0,3.29
E12000002,North West,2002.0,3.51
E12000003,Yorkshire and The Humber,2002.0,3.55
E12000004,East Midlands,2002.0,4.18
E12000005,West Midlands,2002.0,4.42
E12000007,London,2002.0,6.57
E12000008,South East,2002.0,6.38
E12000009,South West,2002.0,5.98
W92000004,Wales,2002.0,3.71
E92000001,England,2003.0,5.93
E12000001,North East,2003.0,3.95
E12000002,North West,2003.0,4.02
E12000003,Yorkshire and The Humber,2003.0,4.2
E12000004,East Midlands,2003.0,5.04
E12000005,West Midlands,2003.0,5.21
E12000007,London,2003.0,7.1
E12000008,South East,2003.0,7.22
E12000009,South West,2003.0,7.0
W92000004,Wales,2003.0,4.31
E92000001,England,2004.0,6.6
E12000001,North East,2004.0,4.78
E12000002,North West,2004.0,4.87
E12000003,Yorkshire and The Humber,2004.0,5.14
E12000004,East Midlands,2004.0,5.94
E12000005,West Midlands,2004.0,6.02
E12000007,London,2004.0,7.55
E12000008,South East,2004.0,7.62
E12000009,South West,2004.0,7.73
W92000004,Wales,2004.0,5.43
E92000001,England,2005.0,6.79
E12000001,North East,2005.0,5.18
E12000002,North West,2005.0,5.35
E12000003,Yorkshire and The Humber,2005.0,5.5
E12000004,East Midlands,2005.0,6.07
E12000005,West Midlands,2005.0,6.2
E12000007,London,2005.0,7.66
E12000008,South East,2005.0,7.84
E12000009,South West,2005.0,7.99
W92000004,Wales,2005.0,6.01
E92000001,England,2006.0,6.95
E12000001,North East,2006.0,5.68
E12000002,North West,2006.0,5.68
E12000003,Yorkshire and The Humber,2006.0,5.77
E12000004,East Midlands,2006.0,6.15
E12000005,West Midlands,2006.0,6.36
E12000007,London,2006.0,7.91
E12000008,South East,2006.0,8.02
E12000009,South West,2006.0,8.02
W92000004,Wales,2006.0,6.25
E92000001,England,2007.0,7.15
E12000001,North East,2007.0,5.79
E12000002,North West,2007.0,5.83
E12000003,Yorkshire and The Humber,2007.0,6.04
E12000004,East Midlands,2007.0,6.43
E12000005,West Midlands,2007.0,6.48
E12000007,London,2007.0,7.94
E12000008,South East,2007.0,8.4
E12000009,South West,2007.0,8.29
W92000004,Wales,2007.0,6.59
E92000001,England,2008.0,6.97
E12000001,North East,2008.0,5.56
E12000002,North West,2008.0,5.58
E12000003,Yorkshire and The Humber,2008.0,5.74
E12000004,East Midlands,2008.0,6.1
E12000005,West Midlands,2008.0,6.08
E12000007,London,2008.0,8.08
E12000008,South East,2008.0,8.22
E12000009,South West,2008.0,8.03
W92000004,Wales,2008.0,6.32
E92000001,England,2009.0,6.4
E12000001,North East,2009.0,5.2
E12000002,North West,2009.0,5.2
E12000003,Yorkshire and The Humber,2009.0,5.29
E12000004,East Midlands,2009.0,5.42
E12000005,West Midlands,2009.0,5.84
E12000007,London,2009.0,7.42
E12000008,South East,2009.0,7.28
E12000009,South West,2009.0,7.24
W92000004,Wales,2009.0,5.7
E92000001,England,2010.0,6.85
E12000001,North East,2010.0,5.4
E12000002,North West,2010.0,5.47
E12000003,Yorkshire and The Humber,2010.0,5.66
E12000004,East Midlands,2010.0,5.8
E12000005,West Midlands,2010.0,6.19
E12000007,London,2010.0,8.24
E12000008,South East,2010.0,8.11
E12000009,South West,2010.0,7.76
W92000004,Wales,2010.0,5.82
E92000001,England,2011.0,6.8
E12000001,North East,2011.0,5.12
E12000002,North West,2011.0,5.28
E12000003,Yorkshire and The Humber,2011.0,5.39
E12000004,East Midlands,2011.0,5.71
E12000005,West Midlands,2011.0,5.93
E12000007,London,2011.0,8.52
E12000008,South East,2011.0,8.07
E12000009,South West,2011.0,7.61
W92000004,Wales,2011.0,5.6
E92000001,England,2012.0,6.77
E12000001,North East,2012.0,5.0
E12000002,North West,2012.0,5.24
E12000003,Yorkshire and The Humber,2012.0,5.35
E12000004,East Midlands,2012.0,5.58
E12000005,West Midlands,2012.0,5.9
E12000007,London,2012.0,8.53
E12000008,South East,2012.0,7.99
E12000009,South West,2012.0,7.59
W92000004,Wales,2012.0,5.63
E92000001,England,2013.0,6.76
E12000001,North East,2013.0,5.02
E12000002,North West,2013.0,5.18
E12000003,Yorkshire and The Humber,2013.0,5.29
E12000004,East Midlands,2013.0,5.62
E12000005,West Midlands,2013.0,5.84
E12000007,London,2013.0,8.96
E12000008,South East,2013.0,8.26
E12000009,South West,2013.0,7.53
W92000004,Wales,2013.0,5.54
E92000001,England,2014.0,7.09
E12000001,North East,2014.0,5.02
E12000002,North West,2014.0,5.42
E12000003,Yorkshire and The Humber,2014.0,5.54
E12000004,East Midlands,2014.0,5.94
E12000005,West Midlands,2014.0,6.21
E12000007,London,2014.0,10.08
E12000008,South East,2014.0,8.56
E12000009,South West,2014.0,7.78
W92000004,Wales,2014.0,5.64
E92000001,England,2015.0,7.52
E12000001,North East,2015.0,5.15
E12000002,North West,2015.0,5.55
E12000003,Yorkshire and The Humber,2015.0,5.68
E12000004,East Midlands,2015.0,6.28
E12000005,West Midlands,2015.0,6.27
E12000007,London,2015.0,11.05
E12000008,South East,2015.0,9.13
E12000009,South West,2015.0,8.17
W92000004,Wales,2015.0,5.73
E92000001,England,2016.0,7.72
E12000001,North East,2016.0,5.22
E12000002,North West,2016.0,5.64
E12000003,Yorkshire and The Humber,2016.0,5.78
E12000004,East Midlands,2016.0,6.48
E12000005,West Midlands,2016.0,6.38
E12000007,London,2016.0,12.03
E12000008,South East,2016.0,9.76
E12000009,South West,2016.0,8.53
W92000004,Wales,2016.0,5.82
E92000001,England,2017.0,7.91
E12000001,North East,2017.0,5.21
E12000002,North West,2017.0,5.79
E12000003,Yorkshire and The Humber,2017.0,5.89
E12000004,East Midlands,2017.0,6.84
E12000005,West Midlands,2017.0,6.63
E12000007,London,2017.0,12.38
E12000008,South East,2017.0,10.25
E12000009,South West,2017.0,8.85
W92000004,Wales,2017.0,5.76
E92000001,England,2018.0,8.04
E12000001,North East,2018.0,5.31
E12000002,North West,2018.0,5.84
E12000003,Yorkshire and The Humber,2018.0,5.95
E12000004,East Midlands,2018.0,6.96
E12000005,West Midlands,2018.0,6.79
E12000007,London,2018.0,12.26
E12000008,South East,2018.0,10.37
E12000009,South West,2018.0,8.92
W92000004,Wales,2018.0,5.92
E92000001,England,2019.0,7.88
E12000001,North East,2019.0,5.21
E12000002,North West,2019.0,5.86
E12000003,Yorkshire and The Humber,2019.0,5.92
E12000004,East Midlands,2019.0,6.86
E12000005,West Midlands,2019.0,6.83
E12000007,London,2019.0,12.05
E12000008,South East,2019.0,10.05
E12000009,South West,2019.0,8.77
W92000004,Wales,2019.0,5.83
E92000001,England,2020.0,7.86
E12000001,North East,2020.0,5.21
E12000002,North West,2020.0,5.91
E12000003,Yorkshire and The Humber,2020.0,5.92
E12000004,East Midlands,2020.0,6.89
E12000005,West Midlands,2020.0,6.85
E12000007,London,2020.0,11.83
E12000008,South East,2020.0,10.01
E12000009,South West,2020.0,8.74
W92000004,Wales,2020.0,5.88
E92000001,England,2021.0,9.06
E12000001,North East,2021.0,5.81
E12000002,North West,2021.0,6.76
E12000003,Yorkshire and The Humber,2021.0,6.61
E12000004,East Midlands,2021.0,8.04
E12000005,West Midlands,2021.0,7.69
E12000007,London,2021.0,12.88
E12000008,South East,2021.0,11.12
E12000009,South West,2021.0,10.0
W92000004,Wales,2021.0,6.56
E92000001,England,2022.0,8.56
E12000001,North East,2022.0,5.25
E12000002,North West,2022.0,6.52
E12000003,Yorkshire and The Humber,2022.0,6.26
E12000004,East Midlands,2022.0,7.78
E12000005,West Midlands,2022.0,7.39
E12000007,London,2022.0,12.38
E12000008,South East,2022.0,10.87
E12000009,South West,2022.0,9.56
W92000004,Wales,2022.0,6.43
E92000001,England,2023.0,8.4
E12000001,North East,2023.0,5.3
E12000002,North West,2023.0,6.35
E12000003,Yorkshire and The Humber,2023.0,6.36
E12000004,East Midlands,2023.0,7.8
E12000005,West Midlands,2023.0,7.35
E12000007,London,2023.0,11.81
E12000008,South East,2023.0,10.54
E12000009,South West,2023.0,9.37
W92000004,Wales,2023.0,6.21
E92000001,England,2024.0,7.71
E12000001,North East,2024.0,4.85
E12000002,North West,2024.0,5.86
E12000003,Yorkshire and The Humber,2024.0,5.81
E12000004,East Midlands,2024.0,7.06
E12000005,West Midlands,2024.0,6.87
E12000007,London,2024.0,11.06
E12000008,South East,2024.0,9.61
E12000009,South West,2024.0,8.48
W92000004,Wales,2024.0,5.86
E92000001,England,,8.32
E12000001,North East,,5.28
E12000002,North West,,6.28
E12000003,Yorkshire and The Humber,,6.19
E12000004,East Midlands,,7.51
E12000005,West Midlands,,7.23
E12000007,London,,11.99
E12000008,South East,,10.43
E12000009,South West,,9.23
W92000004,Wales,,6.19
